# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      45|      0|    0.08|  0.06|                 1|             12|             17|               7|     45|            45|            1|
|   1|      30|      0|    0.08|  0.07|                 1|             13|             15|               9|     30|            30|            1|
|   2|      31|      0|    0.00|  0.00|                 0|             11|             14|               7|     31|            31|            1|
|   3|      11|      0|    1.00|  1.00|                 3|              3|              3|               0|     11|            11|            1|
|   4|      40|      0|    0.10|  0.06|                 1|             10|             17|               7|     40|            40|            1|
|   5|      31|      0|    0.08|  0.07|                 1|             12|             14|               6|     31|            31|            1|
|   6|      17|      0|    0.00|  0.00|                 0|              8|              7|               5|     17|            17|            1|
|   7|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
|   8|      35|      0|    0.00|  0.00|                 0|             10|             15|               6|     35|            35|            1|
|   9|      16|      0|    0.00|  0.00|                 0|              9|              3|               0|     16|            16|            1|
|  10|      26|      0|    0.00|  0.00|                 0|             11|             13|               8|     26|            26|            1|
|  11|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
|  12|      44|      0|    0.10|  0.06|                 1|             10|             17|               7|     44|            44|            1|
|  13|      22|      0|    0.11|  0.10|                 1|              9|             10|               4|     22|            22|            1|
|  14|      11|      0|    1.00|  1.00|                 3|              3|              3|               0|     11|            11|            1|
|  15|      44|      0|    0.08|  0.06|                 1|             12|             17|               8|     44|            44|            1|
|  16|      21|      0|    0.09|  0.10|                 1|             11|             10|               6|     21|            21|            1|
|  17|      23|      0|    0.00|  0.00|                 0|              8|             12|               4|     23|            23|            1|
|  18|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
|  19|      39|      0|    0.11|  0.06|                 1|              9|             16|               5|     39|            39|            1|
|  20|      19|      0|    0.09|  0.11|                 1|             11|              9|               4|     19|            19|            1|
|  21|      23|      0|    0.00|  0.00|                 0|             10|             12|               3|     23|            23|            1|
|  22|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
|  23|      42|      0|    0.08|  0.06|                 1|             12|             17|               9|     42|            42|            1|
|  24|      21|      0|    0.08|  0.11|                 1|             12|              9|               5|     21|            21|            1|
|  25|      22|      0|    0.00|  0.00|                 0|             10|             10|               5|     22|            22|            1|
|  26|      15|      0|    1.00|  1.00|                 3|              3|              3|               0|     15|            15|            1|
|  27|      49|      0|    0.08|  0.06|                 1|             12|             17|               8|     49|            49|            1|
|  28|      21|      0|    0.00|  0.00|                 0|              9|              9|               5|     21|            21|            1|
|  29|      39|      0|    0.08|  0.06|                 1|             12|             16|               7|     39|            39|            1|
|  30|      22|      0|    0.18|  0.20|                 2|             11|             10|               6|     22|            22|            1|
|  31|      23|      0|    0.00|  0.00|                 0|             10|             12|               7|     23|            23|            1|
|  32|      11|      0|    1.00|  1.00|                 3|              3|              3|               0|     11|            11|            1|
|  33|      51|      0|    0.08|  0.06|                 1|             12|             16|               7|     51|            51|            1|
|  34|      20|      0|    0.09|  0.09|                 1|             11|             11|               7|     20|            20|            1|
|  35|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
|  36|      23|      0|    0.09|  0.08|                 1|             11|             12|               6|     23|            23|            1|
|  37|      25|      0|    0.00|  0.00|                 0|             12|             12|               3|     25|            25|            1|
