# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      14|      0|    0.00|  0.00|                 0|              5|              3|               0|     14|            14|            1|
|   1|      21|      0|    0.08|  0.12|                 1|             12|              8|               6|     21|            21|            1|
|   2|      14|      0|    0.00|  0.00|                 0|              5|              3|               0|     14|            14|            1|
|   3|      31|      0|    0.00|  0.00|                 0|             12|             10|               7|     31|            31|            1|
|   4|       5|      0|    0.00|  0.00|                 0|              3|              3|               0|      5|             5|            1|
|   5|      59|      0|    0.00|  0.00|                 0|             15|             18|              12|     59|            59|            1|
|   6|      11|      0|    0.00|  0.00|                 0|              3|              3|               0|     11|            11|            1|
|   7|      33|      0|    0.00|  0.00|                 0|             12|             11|               7|     33|            33|            1|
|   8|       7|      0|    0.00|  0.00|                 0|              3|              3|               0|      7|             7|            1|
|   9|      65|      0|    0.00|  0.00|                 0|             19|             19|              13|     65|            65|            1|
|  10|      19|      0|    0.00|  0.00|                 0|              4|              8|               1|     19|            19|            1|
|  11|      33|      0|    0.00|  0.00|                 0|             15|             11|               6|     33|            33|            1|
|  12|       9|      0|    0.00|  0.00|                 0|              3|              3|               0|      9|             9|            1|
|  13|      60|      0|    0.00|  0.00|                 0|             19|             18|              14|     60|            60|            1|
|  14|       4|      0|    0.00|  0.00|                 0|              3|              3|               0|      4|             4|            1|
|  15|      42|      0|    0.06|  0.07|                 1|             18|             14|              10|     42|            42|            1|
|  16|       3|      0|    0.00|  0.00|                 0|              3|              3|               0|      3|             3|            1|
|  17|      43|      0|    0.10|  0.07|                 1|             10|             14|               5|     43|            43|            1|
|  18|       4|      0|    0.00|  0.00|                 0|              3|              3|               0|      4|             4|            1|
|  19|      85|      0|    0.06|  0.05|                 1|             18|             21|              12|     85|            85|            1|
|  20|      22|      0|    0.17|  0.25|                 2|             12|              8|               0|     22|            22|            1|
|  21|       3|      0|    0.00|  0.00|                 0|              3|              3|               0|      3|             3|            1|
|  22|       6|      0|    0.00|  0.00|                 0|              3|              3|               0|      6|             6|            1|
|  23|      21|      0|    0.08|  0.12|                 1|             12|              8|               6|     21|            21|            1|
|  24|      28|      0|    0.00|  0.00|                 0|              9|              9|               4|     28|            28|            1|
