2022-11-05 18:14:41,445 INFO    Thread-15 :4006154 [wandb_setup.py:_flush():68] Configure stats pid to 4006154
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_setup.py:_flush():68] Loading settings from /home/xiaodan8/.config/wandb/settings
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_setup.py:_flush():68] Loading settings from /data/xiaodan8/research/self-attentive-parser-v2/wandb/settings
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'parsing', 'entity': 'xiaodan8', 'root_dir': '/data/xiaodan8/research/self-attentive-parser-v2', 'run_id': 'aht2q9ue', 'sweep_param_path': '/data/xiaodan8/research/self-attentive-parser-v2/wandb/sweep-i74k4dlu/config-aht2q9ue.yaml', 'sweep_id': 'i74k4dlu'}
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program': '/data/xiaodan8/research/self-attentive-parser-v2/src/main.py'}
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_init.py:_log_setup():476] Logging user logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221105_181441-aht2q9ue/logs/debug.log
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_init.py:_log_setup():477] Logging internal logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221105_181441-aht2q9ue/logs/debug-internal.log
2022-11-05 18:14:41,446 INFO    Thread-15 :4006154 [wandb_init.py:init():516] calling init triggers
2022-11-05 18:14:41,447 INFO    Thread-15 :4006154 [wandb_init.py:init():520] wandb.init called with sweep_config: {'batch_size': 8, 'd_model': 568, 'learning_rate': 0.011396961378543149, 'num_heads': 16, 'num_layers': 16, 'optimizer': 'adam', 'tag_emb_dropout': 0.4}
config: {}
2022-11-05 18:14:41,447 INFO    Thread-15 :4006154 [wandb_init.py:init():569] starting backend
2022-11-05 18:14:41,447 INFO    Thread-15 :4006154 [wandb_init.py:init():573] setting up manager
2022-11-05 18:14:41,452 INFO    Thread-15 :4006154 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-05 18:14:41,458 INFO    Thread-15 :4006154 [wandb_init.py:init():580] backend started and connected
2022-11-05 18:14:41,465 INFO    Thread-15 :4006154 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 8, 'd_model': 568, 'learning_rate': 0.011396961378543149, 'num_heads': 16, 'num_layers': 16, 'optimizer': 'adam', 'tag_emb_dropout': 0.4}
2022-11-05 18:14:41,465 INFO    Thread-15 :4006154 [wandb_init.py:init():658] updated telemetry
2022-11-05 18:14:41,487 INFO    Thread-15 :4006154 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-05 18:14:41,655 INFO    Thread-15 :4006154 [wandb_run.py:_on_init():2000] communicating current version
2022-11-05 18:14:41,718 INFO    Thread-15 :4006154 [wandb_run.py:_on_init():2004] got version response 
2022-11-05 18:14:41,718 INFO    Thread-15 :4006154 [wandb_init.py:init():728] starting run threads in backend
2022-11-05 18:14:43,814 INFO    Thread-15 :4006154 [wandb_run.py:_console_start():1980] atexit reg
2022-11-05 18:14:43,815 INFO    Thread-15 :4006154 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-05 18:14:43,815 INFO    Thread-15 :4006154 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-05 18:14:43,815 INFO    Thread-15 :4006154 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-05 18:14:43,816 INFO    Thread-15 :4006154 [wandb_init.py:init():765] run started, returning control to user process
2022-11-05 18:14:43,826 INFO    Thread-15 :4006154 [wandb_run.py:_finish():1746] finishing run xiaodan8/parsing/aht2q9ue
2022-11-05 18:14:43,827 INFO    Thread-15 :4006154 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2022-11-05 18:14:43,827 INFO    Thread-15 :4006154 [wandb_run.py:_restore():1932] restore
2022-11-05 18:14:43,827 INFO    Thread-15 :4006154 [wandb_run.py:_restore():1938] restore done
