2022-11-06 01:56:23,706 INFO    Thread-15 :1854661 [wandb_setup.py:_flush():68] Configure stats pid to 1854661
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_setup.py:_flush():68] Loading settings from /home/xiaodan8/.config/wandb/settings
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_setup.py:_flush():68] Loading settings from /data/xiaodan8/research/self-attentive-parser-v2/wandb/settings
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'parsing', 'entity': 'xiaodan8', 'root_dir': '/data/xiaodan8/research/self-attentive-parser-v2', 'run_id': '51qjvoa0', 'sweep_param_path': '/data/xiaodan8/research/self-attentive-parser-v2/wandb/sweep-q3rtdazm/config-51qjvoa0.yaml', 'sweep_id': 'q3rtdazm'}
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program': '/data/xiaodan8/research/self-attentive-parser-v2/src/main.py'}
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_init.py:_log_setup():476] Logging user logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221106_015623-51qjvoa0/logs/debug.log
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_init.py:_log_setup():477] Logging internal logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221106_015623-51qjvoa0/logs/debug-internal.log
2022-11-06 01:56:23,707 INFO    Thread-15 :1854661 [wandb_init.py:init():516] calling init triggers
2022-11-06 01:56:23,708 INFO    Thread-15 :1854661 [wandb_init.py:init():520] wandb.init called with sweep_config: {'batch_size': 24, 'd_model': 1392, 'learning_rate': 0.0990113439808584, 'num_heads': 8, 'num_layers': 16, 'optimizer': 'adam', 'tag_emb_dropout': 0.3}
config: {}
2022-11-06 01:56:23,708 INFO    Thread-15 :1854661 [wandb_init.py:init():569] starting backend
2022-11-06 01:56:23,708 INFO    Thread-15 :1854661 [wandb_init.py:init():573] setting up manager
2022-11-06 01:56:23,715 INFO    Thread-15 :1854661 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-06 01:56:23,723 INFO    Thread-15 :1854661 [wandb_init.py:init():580] backend started and connected
2022-11-06 01:56:23,730 INFO    Thread-15 :1854661 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 24, 'd_model': 1392, 'learning_rate': 0.0990113439808584, 'num_heads': 8, 'num_layers': 16, 'optimizer': 'adam', 'tag_emb_dropout': 0.3}
2022-11-06 01:56:23,731 INFO    Thread-15 :1854661 [wandb_init.py:init():658] updated telemetry
2022-11-06 01:56:24,190 INFO    Thread-15 :1854661 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-06 01:56:24,376 INFO    Thread-15 :1854661 [wandb_run.py:_on_init():2000] communicating current version
2022-11-06 01:56:24,435 INFO    Thread-15 :1854661 [wandb_run.py:_on_init():2004] got version response 
2022-11-06 01:56:24,435 INFO    Thread-15 :1854661 [wandb_init.py:init():728] starting run threads in backend
2022-11-06 01:56:26,948 INFO    Thread-15 :1854661 [wandb_run.py:_console_start():1980] atexit reg
2022-11-06 01:56:26,948 INFO    Thread-15 :1854661 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-06 01:56:26,948 INFO    Thread-15 :1854661 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-06 01:56:26,948 INFO    Thread-15 :1854661 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-06 01:56:26,949 INFO    Thread-15 :1854661 [wandb_init.py:init():765] run started, returning control to user process
2022-11-06 01:56:26,993 INFO    Thread-15 :1854661 [wandb_run.py:_finish():1746] finishing run xiaodan8/parsing/51qjvoa0
2022-11-06 01:56:26,993 INFO    Thread-15 :1854661 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2022-11-06 01:56:26,993 INFO    Thread-15 :1854661 [wandb_run.py:_restore():1932] restore
2022-11-06 01:56:26,993 INFO    Thread-15 :1854661 [wandb_run.py:_restore():1938] restore done
2022-11-06 01:56:31,364 INFO    Thread-15 :1854661 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-06 01:56:31,364 INFO    Thread-15 :1854661 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-06 01:56:31,368 INFO    Thread-15 :1854661 [wandb_run.py:_footer_sync_info():3333] logging synced files
