2022-11-06 14:33:24,607 INFO    Thread-79 :3323540 [wandb_setup.py:_flush():68] Configure stats pid to 3323540
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_setup.py:_flush():68] Loading settings from /home/xiaodan8/.config/wandb/settings
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_setup.py:_flush():68] Loading settings from /data/xiaodan8/research/self-attentive-parser-v2/wandb/settings
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'parsing', 'entity': 'xiaodan8', 'root_dir': '/data/xiaodan8/research/self-attentive-parser-v2', 'run_id': '4yre00al', 'sweep_param_path': '/data/xiaodan8/research/self-attentive-parser-v2/wandb/sweep-jwq6dy7l/config-4yre00al.yaml', 'sweep_id': 'jwq6dy7l'}
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program': 'src/main.py'}
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:_log_setup():476] Logging user logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221106_143324-4yre00al/logs/debug.log
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:_log_setup():477] Logging internal logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20221106_143324-4yre00al/logs/debug-internal.log
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:init():516] calling init triggers
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:init():520] wandb.init called with sweep_config: {'batch_size': 96, 'd_model': 560, 'learning_rate': 0.040457635235185155, 'num_heads': 8, 'num_layers': 16, 'optimizer': 'sgd', 'tag_emb_dropout': 0.4}
config: {}
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:init():569] starting backend
2022-11-06 14:33:24,608 INFO    Thread-79 :3323540 [wandb_init.py:init():573] setting up manager
2022-11-06 14:33:24,614 INFO    Thread-79 :3323540 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-06 14:33:24,617 INFO    Thread-79 :3323540 [wandb_init.py:init():580] backend started and connected
2022-11-06 14:33:24,622 INFO    Thread-79 :3323540 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 96, 'd_model': 560, 'learning_rate': 0.040457635235185155, 'num_heads': 8, 'num_layers': 16, 'optimizer': 'sgd', 'tag_emb_dropout': 0.4}
2022-11-06 14:33:24,623 INFO    Thread-79 :3323540 [wandb_init.py:init():658] updated telemetry
2022-11-06 14:33:27,344 INFO    Thread-79 :3323540 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-06 14:33:27,964 INFO    Thread-79 :3323540 [wandb_run.py:_on_init():2000] communicating current version
2022-11-06 14:33:28,019 INFO    Thread-79 :3323540 [wandb_run.py:_on_init():2004] got version response 
2022-11-06 14:33:28,019 INFO    Thread-79 :3323540 [wandb_init.py:init():728] starting run threads in backend
2022-11-06 14:33:29,985 INFO    Thread-79 :3323540 [wandb_run.py:_console_start():1980] atexit reg
2022-11-06 14:33:29,985 INFO    Thread-79 :3323540 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-06 14:33:29,985 INFO    Thread-79 :3323540 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-06 14:33:29,985 INFO    Thread-79 :3323540 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-06 14:33:29,986 INFO    Thread-79 :3323540 [wandb_init.py:init():765] run started, returning control to user process
2022-11-06 15:18:31,263 INFO    Thread-79 :3323540 [wandb_run.py:_finish():1746] finishing run xiaodan8/parsing/4yre00al
2022-11-06 15:18:31,263 INFO    Thread-79 :3323540 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-06 15:18:31,263 INFO    Thread-79 :3323540 [wandb_run.py:_restore():1932] restore
2022-11-06 15:18:31,263 INFO    Thread-79 :3323540 [wandb_run.py:_restore():1938] restore done
2022-11-06 15:18:35,640 INFO    Thread-79 :3323540 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-06 15:18:35,640 INFO    Thread-79 :3323540 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-06 15:18:35,642 INFO    Thread-79 :3323540 [wandb_run.py:_footer_sync_info():3333] logging synced files
